material_id,formula,volume,density,crystal_system,nsites,elements,chemsys,band_gap,formation_energy_per_atom
mp-1244979,ZnS,2365.20921388297,3.421671622698515,Triclinic,100,"S, Zn",S-Zn,0.891999999999999,-0.48028242806339205
mp-1244980,ZnS,2425.069893267038,3.337210721784858,Triclinic,100,"S, Zn",S-Zn,1.3911,-0.617690840263392
mp-1244986,ZnS,2484.8090732186774,3.256978307152291,Triclinic,100,"S, Zn",S-Zn,1.4153,-0.536222049163392
mp-1244989,ZnS,2298.268419005961,3.521333357741026,Triclinic,100,"S, Zn",S-Zn,0.9623,-0.5587857839633921
mp-1245004,ZnS,2338.3135716626093,3.461028215789759,Triclinic,100,"S, Zn",S-Zn,0.8022,-0.511976676963391
mp-1245034,ZnS,2478.0106348494173,3.265913848420675,Triclinic,100,"S, Zn",S-Zn,1.253099999999999,-0.5393336918633911
mp-1245035,ZnS,2421.5644553210377,3.342041642172807,Triclinic,100,"S, Zn",S-Zn,1.3048,-0.5252168988633921
mp-1245050,ZnS,2322.1462980700703,3.4851246261333593,Triclinic,100,"S, Zn",S-Zn,0.8705,-0.477337978063392
mp-1245054,ZnS,2438.8863681258176,3.318305171842643,Triclinic,100,"S, Zn",S-Zn,0.909999999999999,-0.48602735536339203
mp-1245062,ZnS,2372.096933462147,3.411736314281427,Triclinic,100,"S, Zn",S-Zn,0.712,-0.504452273463391
mp-1245068,ZnS,2307.4525405286226,3.507317748357403,Triclinic,100,"S, Zn",S-Zn,0.8362,-0.488017730363392
mp-1245070,ZnS,2434.980536780617,3.323627900364432,Triclinic,100,"S, Zn",S-Zn,1.3785,-0.5573290808633921
mp-1245082,ZnS,2408.0838528463414,3.360750598166495,Triclinic,100,"S, Zn",S-Zn,0.8844000000000001,-0.48887023696339105
mp-1245117,ZnS,2382.666807148384,3.396601331167333,Triclinic,100,"S, Zn",S-Zn,0.338699999999999,-0.549747351363391
mp-1245121,ZnS,2400.8987700036114,3.37080819483124,Triclinic,100,"S, Zn",S-Zn,1.003799999999999,-0.552681039863391
mp-1245122,ZnS,2350.569076453085,3.442982948240086,Triclinic,100,"S, Zn",S-Zn,1.2726,-0.5625278723633911
mp-1245136,ZnS,2378.6682585429953,3.402311028375854,Triclinic,100,"S, Zn",S-Zn,1.0427,-0.5182288950633911
mp-1245169,ZnS,2376.0502759796927,3.406059766791562,Triclinic,100,"S, Zn",S-Zn,0.907,-0.5106130324633921
mp-1245194,ZnS,2527.0330421917224,3.202557748065416,Triclinic,100,"S, Zn",S-Zn,1.2368000000000001,-0.562447296763391
mp-1245197,ZnS,2425.529327505108,3.336578600438042,Triclinic,100,"S, Zn",S-Zn,0.860399999999999,-0.507225864763391
mp-1245199,ZnS,2378.481400509168,3.402578320417362,Triclinic,100,"S, Zn",S-Zn,1.253099999999999,-0.545662389063392
mp-1245201,ZnS,2358.1995722803117,3.4318423868861743,Triclinic,100,"S, Zn",S-Zn,0.8690999999999991,-0.514308150963391
mp-1245213,ZnS,2357.5104403792257,3.432845560415247,Triclinic,100,"S, Zn",S-Zn,0.8460999999999991,-0.549087007263392
mp-1245216,ZnS,2286.8000931097704,3.538992880607663,Triclinic,100,"S, Zn",S-Zn,0.8600999999999991,-0.49473327896339203
mp-1245220,ZnS,2397.8298400440794,3.375122418503077,Triclinic,100,"S, Zn",S-Zn,1.024,-0.5242152644633911
mp-1245222,ZnS,2418.422053664449,3.346384158474641,Triclinic,100,"S, Zn",S-Zn,0.4752,-0.502049065563392
mp-1245236,ZnS,2393.058730277403,3.381851496787245,Triclinic,100,"S, Zn",S-Zn,0.834399999999999,-0.533109064963391
mp-1245238,ZnS,2419.848123798667,3.344412060118927,Triclinic,100,"S, Zn",S-Zn,1.289399999999999,-0.502117678963392
mp-1245246,ZnS,2326.7999649713634,3.478154276570149,Triclinic,100,"S, Zn",S-Zn,0.8743000000000001,-0.5405927428633911
mp-1245248,ZnS,2398.296071298702,3.374466291188975,Triclinic,100,"S, Zn",S-Zn,0.7802,-0.508109612463392
mp-1245280,ZnS,2342.7832214693335,3.454425136190244,Triclinic,100,"S, Zn",S-Zn,1.189599999999999,-0.525652903463392
mp-1245296,ZnS,2361.327679035657,3.427296143919131,Triclinic,100,"S, Zn",S-Zn,0.8374,-0.48808263816339104
mp-1245300,ZnS,2435.751286996472,3.3225761973702452,Triclinic,100,"S, Zn",S-Zn,1.1409,-0.5595285058633921
mp-1245310,ZnS,2431.095717979061,3.328938959102771,Triclinic,100,"S, Zn",S-Zn,0.5837999999999991,-0.5164420650633921
mp-1245316,ZnS,2428.825233332597,3.332050877034095,Triclinic,100,"S, Zn",S-Zn,0.6422000000000001,-0.490130888363391
mp-1245317,ZnS,2407.2709811777554,3.361885434654698,Triclinic,100,"S, Zn",S-Zn,1.152499999999999,-0.5434274861633921
mp-1245319,ZnS,2366.3626003790646,3.4200038690571,Triclinic,100,"S, Zn",S-Zn,1.409299999999999,-0.526491948663392
mp-553880,ZnS,1017.3360865803754,4.136631015977919,Trigonal,52,"S, Zn",S-Zn,2.0298,-0.961803102944711
mp-553916,ZnS,938.2087131860818,4.140470222531364,Trigonal,48,"S, Zn",S-Zn,2.0251,-0.961964429531249
mp-554004,ZnS,1096.4154453279523,4.133526938798199,Trigonal,56,"S, Zn",S-Zn,2.0279,-0.9612047906919651
mp-554115,ZnS,939.6311802203596,4.134202143606421,Trigonal,48,"S, Zn",S-Zn,2.0169,-0.9618576197395831
mp-554253,ZnS,1017.7059296272139,4.135127728855325,Trigonal,52,"S, Zn",S-Zn,1.9769,-0.961498548329326
mp-554503,ZnS,1096.325724752779,4.133865216379459,Trigonal,56,"S, Zn",S-Zn,2.0191,-0.9617047133705371
mp-554608,ZnS,1017.4905302384507,4.136003121754603,Trigonal,52,"S, Zn",S-Zn,2.015,-0.9620088262139421
mp-554630,ZnS,940.2307651818815,4.131565763767565,Trigonal,48,"S, Zn",S-Zn,1.9824000000000002,-0.961452033072916
mp-554681,ZnS,1094.925724940317,4.13915088132992,Trigonal,56,"S, Zn",S-Zn,2.0164,-0.9620172412276781
mp-554713,ZnS,938.3285976671797,4.1399412200845,Trigonal,48,"S, Zn",S-Zn,2.034,-0.9615310759895831
mp-554820,ZnS,1094.3999128517012,4.141139565305906,Trigonal,56,"S, Zn",S-Zn,2.0195,-0.9622174221205351
mp-554829,ZnS,939.1168277839166,4.13646643797577,Trigonal,48,"S, Zn",S-Zn,2.0216,-0.961976457447916
mp-554889,ZnS,939.3856136595164,4.135282873167822,Trigonal,48,"S, Zn",S-Zn,2.0385,-0.9615744622395831
mp-554961,ZnS,1095.545036428172,4.136811019794761,Trigonal,56,"S, Zn",S-Zn,2.018,-0.961708897834822
mp-554986,ZnS,1376.7396969722602,3.997283655978585,Trigonal,68,"S, Zn",S-Zn,2.0291,-0.961220063822216
mp-554999,ZnS,938.38491544128,4.139692758850113,Trigonal,48,"S, Zn",S-Zn,2.0197,-0.961746592447916
mp-555079,ZnS,1095.5658133276033,4.136732567085231,Trigonal,56,"S, Zn",S-Zn,2.018799999999999,-0.96220205265625
mp-555151,ZnS,1095.7084429965078,4.136194083695638,Trigonal,56,"S, Zn",S-Zn,2.0233,-0.9617112069419641
mp-555214,ZnS,1014.2969910184012,4.149025430112542,Trigonal,52,"S, Zn",S-Zn,1.596,-0.9484992271754811
mp-555311,ZnS,1017.8018903608638,4.134737859378411,Trigonal,52,"S, Zn",S-Zn,2.0305,-0.9614913864062501
mp-555381,ZnS,938.102174696848,4.140940447901398,Trigonal,48,"S, Zn",S-Zn,2.0142,-0.961973424739583
mp-555543,ZnS,938.2251895833623,4.14039751074205,Trigonal,48,"S, Zn",S-Zn,2.025,-0.9616303891145831
mp-555583,ZnS,939.2889252522513,4.135708550404982,Trigonal,48,"S, Zn",S-Zn,2.03,-0.9617700705729161
mp-555594,ZnS,938.1990805271352,4.140512733484914,Trigonal,48,"S, Zn",S-Zn,2.0252,-0.9619742722395831
mp-555628,ZnS,938.6258387491231,4.138630196504454,Trigonal,48,"S, Zn",S-Zn,2.036,-0.9615629436979171
mp-555664,ZnS,937.9759569096516,4.141497669370025,Trigonal,48,"S, Zn",S-Zn,2.0194,-0.9621872907812491
mp-555666,ZnS,1251.1950852149266,4.139642475017291,Trigonal,64,"S, Zn",S-Zn,1.858099999999999,-0.961936044375001
mp-555773,ZnS,703.8226389555459,4.139493060245037,Trigonal,36,"S, Zn",S-Zn,2.0281,-0.9618352122395841
mp-555779,ZnS,625.5876647054982,4.139707839129861,Trigonal,32,"S, Zn",S-Zn,2.0195,-0.96204220890625
