material_id,formula,volume,density,crystal_system,nsites,elements,chemsys,band_gap,formation_energy_per_atom,avg_coordination,avg_bond_length,electronegativity_diff,radii_ratio,avg_atomic_mass,packing_efficiency,symmetry_deviation
mp-684964,Cu11S20,653.167532014538,3.407441988633388,Trigonal,31,"Cu, S",Cu-S,0.0,0.08423372529233901,3.5806451612903225,2.281095230783319,0.6800000000000002,1.35,47.805499999999995,0.07127719590075177,1
mp-675278,Cu11S16,488.98139810543796,4.116004701435043,Monoclinic,27,"Cu, S",Cu-S,0.0,0.011313235829475,3.5555555555555554,2.2697974515658728,0.6800000000000002,1.35,47.805499999999995,0.08609897818106793,1
mp-684898,Cu18S11,450.9666061676641,5.510536883129754,Triclinic,29,"Cu, S",Cu-S,0.0,-0.15836871508979702,4.586206896551724,2.3500127170155167,0.6800000000000002,1.35,47.805499999999995,0.11526993511478292,1
mp-685126,Cu39S20,856.6182936614005,6.047276537592325,Monoclinic,59,"Cu, S",Cu-S,0.0,-0.057777451546608,6.237288135593221,2.526400977037824,0.6800000000000002,1.35,47.805499999999995,0.12649750630350745,1
mp-580226,CuSe,77.48253878313065,6.108131817601714,Tetragonal,4,"Cu, Se",Cu-Se,0.0,-0.131382814531249,4.0,2.4147932130578296,0.6499999999999999,1.173913043478261,71.253,0.08572455640607012,1
mp-1097707,Cu2Se,2456.9320434532096,6.684578452144643,Monoclinic,144,"Cu, Se",Cu-Se,0.051899999999999,-0.07560757614583201,4.0,2.439101852090915,0.6499999999999999,1.173913043478261,71.253,0.09381469484996621,1
mp-488,CuSe,244.8058110685361,5.799783408539689,Hexagonal,12,"Cu, Se",Cu-Se,0.0,-0.18448107953125,4.0,2.405330361287699,0.6499999999999999,1.173913043478261,71.253,0.08139704164792624,0
mp-568998,CuSe,233.79914486770332,6.072822388434362,Hexagonal,12,"Cu, Se",Cu-Se,0.0,0.032557020468748005,3.0,2.385174389579406,0.6499999999999999,1.173913043478261,71.253,0.08522900633565411,0
mp-582060,CuSe,236.63423555440903,6.000064521614582,Hexagonal,12,"Cu, Se",Cu-Se,0.0,0.041482525468749004,3.0,2.3858864652955463,0.6499999999999999,1.173913043478261,71.253,0.08420788628709783,0
mp-22297,Cu2Se,48.38873202034142,7.071013879992322,Cubic,3,"Cu, Se",Cu-Se,0.0,-0.008857885520832,9.333333333333334,2.670842122558055,0.6499999999999999,1.173913043478261,71.253,0.09923812162284146,0
mp-16366,Cu2Se,48.82893185666389,7.007267673916308,Cubic,3,"Cu, Se",Cu-Se,0.0,-0.025158175520833003,5.333333333333333,2.5123474906072905,0.6499999999999999,1.173913043478261,71.253,0.09834347569809423,0
mp-684653,Cu2Se,101.32056811538241,6.7539573082815565,Orthorhombic,6,"Cu, Se",Cu-Se,0.0,-0.026545130520832003,4.666666666666667,2.4666513997036685,0.6499999999999999,1.173913043478261,71.253,0.09478839218392988,1
mp-1225805,Cu2Se,51.80348571215339,6.604910674394852,Orthorhombic,3,"Cu, Se",Cu-Se,0.0,-0.040014105520834,4.0,2.3818710286124265,0.6499999999999999,1.173913043478261,71.253,0.09269659767862198,1
mp-571486,CuSe,234.94426390177057,6.043223434231278,Orthorhombic,12,"Cu, Se",Cu-Se,0.0,-0.18522606703124903,4.0,2.37786484666815,0.6499999999999999,1.173913043478261,71.253,0.08481359990781129,1
mp-684525,Cu2Se,205.14541762273566,6.671509404714928,Monoclinic,12,"Cu, Se",Cu-Se,0.0,-0.033469192187501,6.333333333333333,2.5300871498785087,0.6499999999999999,1.173913043478261,71.253,0.09363127734572478,1
mp-1021499,Cu2Se,206.39492829276526,6.631120223375309,Tetragonal,12,"Cu, Se",Cu-Se,0.0,-0.046550767187499,4.0,2.4170547462435383,0.6499999999999999,1.173913043478261,71.253,0.09306443550973725,1
mp-20683,Cu3Se2,172.7420110289248,6.701255502681932,Tetragonal,10,"Cu, Se",Cu-Se,0.0,-0.189889615625,4.8,2.4559549798792824,0.6499999999999999,1.173913043478261,71.253,0.09404874886225047,1
mp-2280,CuSe2,230.83372747961258,6.372603326888022,Cubic,12,"Cu, Se",Cu-Se,0.0,-0.127358577708333,4.666666666666667,2.5413812949708854,0.6499999999999999,1.173913043478261,71.253,0.08943628095501975,0
mp-2000,CuSe2,117.14053904044698,6.278833065582114,Orthorhombic,6,"Cu, Se",Cu-Se,0.0,-0.13386065937500002,4.666666666666667,2.5280039373726426,0.6499999999999999,1.173913043478261,71.253,0.08812026252343219,1
mp-1225796,Cu4Se3,118.87121006798851,6.8597851046899905,Trigonal,7,"Cu, Se",Cu-Se,0.0,-0.08696829340773601,6.571428571428571,2.5766486554437633,0.6499999999999999,1.173913043478261,71.253,0.09627363205324675,1
mp-685107,Cu9Se5,245.94277306411823,6.526991394094158,Triclinic,14,"Cu, Se",Cu-Se,0.0,-0.074907410200893,4.571428571428571,2.479902941899366,0.6499999999999999,1.173913043478261,71.253,0.09160303978911986,1
mp-673655,Cu9Se5,472.7466066777017,6.791233783825142,Triclinic,28,"Cu, Se",Cu-Se,0.0,-0.088991285915178,5.142857142857143,2.4892215209935333,0.6499999999999999,1.173913043478261,71.253,0.09531154876040505,1
mp-1173070,Cu9Se5,249.31885361172357,6.438607991231629,Monoclinic,14,"Cu, Se",Cu-Se,0.0,-0.07753550377232,5.0,2.4975370582207312,0.6499999999999999,1.173913043478261,71.253,0.0903626232050809,1
mp-673255,Cu9Se8,329.35176318793947,6.068329004769535,Triclinic,17,"Cu, Se",Cu-Se,0.0,-0.17552827632353202,4.235294117647059,2.3735341941133266,0.6499999999999999,1.173913043478261,71.253,0.08516594395701985,1
